filename;code;name;baz_dot;rev_dot;coord_x;coord_y
dod6;16512000000;отг смт Шишаки;;2 093.9;0.017182249;0.176988563
dod6;08506000000;отг с. Чапаєвка ;;1 948.4;0.453910997;0.952927455
dod6;04506000000;отг м. Зеленодольськ;;1 928.2;0.864518356;0.126615528
dod6;18205100000;м. Охтирка;;1 903.1;0.812329803;0.046678034
dod6;24202100000;м. Новодністровськ;;1 796.6;0.189733313;0.595426147
dod6;13318200000;Стрийський р-н;;1 792.0;0.244736184;0.00509533
dod6;25502000000;отг смт Десна;;1 717.4;0.777307026;0.167296158
dod6;06204100000;м. Новоград-Волинський;;1 705.2;0.850297538;0.14905294
dod6;04209100000;м. Орджонiкiдзе;;1 634.4;0.821933038;0.329107352
dod6;16325200000;Шишацький р-н;;1 618.2;0.017787845;0.113557866
dod6;08314200000;Пологівський р-н;;1 596.7;0.779594986;0.776470982
dod6;13204100000;м. Моршин;;1 552.3;0.960783582;0.950229876
dod6;09305200000;Долинський р-н (Івано-Франківська обл.);;1 543.2;0.806427384;0.752008219
dod6;05202100000;м. Авдіївка;;1 485.5;0.689841447;0.104844289
dod6;10314200000;Макарiвський р-н;;1 448.0;0.297577051;0.535937862
dod6;07205100000;м. Чоп;;1 347.5;0.039170538;0.473224895
dod6;16305200000;Диканський р-н;;1 321.9;0.076014375;0.678641244
dod6;10205100000;м. Василькiв;;1 249.5;0.639747306;0.424674637
dod6;16304200000;Гребінківський р-н;;1 224.7;0.304559391;0.495235901
dod6;04313200000;Петропавлiвський р-н;;1 103.0;0.495278201;0.294106795
dod6;11307200000;Знам'янський р-н;;1 020.9;0.575510072;0.983336669
dod6;19503000000;отг с. Васильківці;;1 008.5;0.030898108;0.181494547
dod6;16315200000;Новосанжарський р-н;;977.5;0.359468102;0.717025498
dod6;14203100000;м. Очаків;;960.2;0.66826828;0.24390617
dod6;16501000000;отг с. Білоцерківка ;;951.5;0.544074177;0.882930624
dod6;23502000000;отг смт Єрки;;917.1;0.609123527;0.694625689
dod6;05501000000;отг м. Красний Лиман ;;829.0;0.917002351;0.789888551
dod6;05502000000;отг с. Октябрське ;;822.4;0.280197377;0.977148655
dod6;19505000000;отг смт Гусятин;;736.8;0.022020174;0.450258197
dod6;05307200000;Костянтинівський р-н;;648.4;0.10790429;0.837965184
dod6;15502000000;отг м. Біляївка ;;636.0;0.343856398;0.65316376
dod6;10310200000;Згурiвський р-н;;585.7;0.167173564;0.775965458
dod6;05308200000;Кpасноаpмійський р-н;;411.4;0.986687445;0.932841399
dod6;20315200000;Кегичівський р-н;;411.3;0.86177423;0.525994367
dod6;13511000000;отг м. Новий Калинів;;258.8;0.544174137;0.041187587
dod6;10309200000;Володарський р-н (Київська обл.);;238.0;0.129299305;0.833616962
dod6;08505000000;отг с. Смирнове;;144.7;0.481738873;0.706303834
dod6;14501000000;отг с. Куцуруб;;138.9;0.775098543;0.892256186
dod6;22519000000;отг с. Розсоша;;127.5;0.80611302;0.990798068
dod6;05208100000;м. Димитров;;79.8;0.127702327;0.050764594
dod6;23204100000;м. Канiв;;57.5;0.962360016;0.048088993
dod6;10317200000;Переяслав-Хмельницький р-н;;56.2;0.540301076;0.28205641
dod6;04509000000;отг с. Могилів;;2.0;0.774772101;0.422190036
dod6;10202100000;м. Бiла Церква;5 271.0;;0.509811949;0.674360268
dod6;06202100000;м. Бердичів;2 983.5;;0.351595312;0.523254131
dod6;08202100000;м. Бердянськ;10 672.2;;0.670141689;0.667019603
dod6;07202100000;м. Берегове;;;0.789075249;0.116134465
dod6;19203100000;м. Бережани;2 041.0;;0.178102659;0.071834781
dod6;10201100000;м. Березань;;;0.123920519;0.027717527
dod6;15202100000;м. Білгород-Дністровський;;;0.662740405;0.918338017
dod6;09202100000;м. Болехів;7 076.8;;0.584240324;0.196813841
dod6;13202100000;м. Борислав;1 242.8;;0.731660623;0.077132701
dod6;10211100000;м. Буча;2 134.8;;0.292127573;0.124650328
dod6;23202100000;м. Ватутiне;5 823.2;;0.472517074;0.032661685
dod6;14202100000;м. Вознесенськ;1 539.5;;0.887105003;0.713074463
dod6;03202100000;м. Володимир-Волинський;;;0.427679252;0.80153456
dod6;16206100000;м. Гадяч;;;0.393256732;0.296172949
dod6;18202100000;м. Глухів;5 760.1;;0.751951772;0.298611096
dod6;21204100000;м. Гола Пристань;;;0.991604141;0.380352591
dod6;05207100000;м. Дзержинськ;6 982.2;;0.656406185;0.185151912
dod6;13203100000;м. Дрогобич;15 908.5;;0.563728109;0.085322543
dod6;05211100000;м. Дружківка;9 156.1;;0.231876577;0.269074058
dod6;17202100000;м. Дубно;4 757.8;;0.929527584;0.320614061
dod6;04204100000;м. Жовтi Води;;;0.472026341;0.256672431
dod6;23203100000;м. Золотоноша;315.3;;0.302542485;0.893767648
dod6;15203100000;м. Ізмаїл;;;0.205922835;0.980024474
dod6;20202100000;м. Ізюм;13 753.1;;0.764655658;0.726505982
dod6;09203100000;м. Калуш;;;0.283976155;0.141560315
dod6;22202100000;м. Кам'янець-Подiльський;12 717.2;;0.527640991;0.71084636
dod6;21202100000;м. Каховка;;;0.319240051;0.118780545
dod6;03203100000;м. Ковель;4 512.9;;0.166474376;0.29023832
dod6;09204100000;м. Коломия;6 049.9;;0.982751117;0.624033927
dod6;18203100000;м. Конотоп;;;0.391450087;0.392874641
dod6;06203100000;м. Коростень;;;0.089930765;0.095197141
dod6;05215100000;м. Костянтинівка;9 336.5;;0.285553764;0.856979027
dod6;15205100000;м. Котовськ;;;0.380214189;0.732462969
dod6;19204100000;м. Кременець;2 814.6;;0.675790193;0.498542839
dod6;20203100000;м. Куп'янськ;;;0.396264147;0.984698453
dod6;18204100000;м. Лебедин;4 341.0;;0.87029259;0.619692163
dod6;12208100000;м. Лисичанськ;8 652.2;;0.562863911;0.274781205
dod6;20204100000;м. Лозова;;;0.522331379;0.76174813
dod6;16204100000;м. Лубни;3 516.5;;0.204028565;0.07684326
dod6;20205100000;м. Люботин;2 919.3;;0.153136127;0.82386813
dod6;06205100000;м. Малин;;;0.203101285;0.120165127
dod6;04206100000;м. Марганець;4 713.7;;0.524765722;0.535257547
dod6;08204100000;м. Мелітополь;15 519.8;;0.820581647;0.130127629
dod6;16205100000;м. Миргород;;;0.960409933;0.152288418
dod6;02205100000;м. Могилів-Подільський;4 239.3;;0.863826321;0.25124654
dod6;25202100000;м. Ніжин;5 185.9;;0.911028116;0.870644227
dod6;21203100000;м. Нова Каховка;1 026.3;;0.32542835;0.108937688
dod6;25204100000;м. Новгород-Сіверський;521.6;;0.035440246;0.672159176
dod6;13205100000;м. Новий Розділ;6 454.8;;0.736955531;0.464631436
dod6;03204100000;м. Нововолинськ;7 038.0;;0.596468835;0.07091802
dod6;04208100000;м. Новомосковськ;9 818.6;;0.200322702;0.160165034
dod6;11203100000;м. Олександрія;22 629.1;;0.444128743;0.622353774
dod6;17204100000;м. Острог;1 497.1;;0.911701942;0.277771053
dod6;04210100000;м. Павлоград;;;0.174506656;0.800028573
dod6;14204100000;м. Первомайськ (Миколаївська обл.);16 803.9;;0.653539935;0.715977403
dod6;20206100000;м. Первомайський;8 212.1;;0.188867568;0.169072676
dod6;10207100000;м. Переяслав-Хмельницький;;;0.066783526;0.002023845
dod6;10208100000;м. Ржищів;895.7;;0.421693552;0.205607369
dod6;18206100000;м. Ромни;;;0.867629131;0.165236445
dod6;12211100000;м. Рубіжне;643.1;;0.699957026;0.49142895
dod6;13206100000;м. Самбір;;;0.113055103;0.453546462
